"","Year","Area","Street","Street.2"
"1",2011,"Birmingham","Acocksì Green","Acocks Green"
"2",2011,"Birmingham","Adderlyì Str.","Adderly Street"
"3",2011,"Birmingham"," Alcesterì Raod Ì Mosley"," Alcester Raod  Mosley"
"4",2011,"Birmingham","Alcesterì Rd.","alcester road"
"5",2011,"Birmingham","Alcesterì Rd.","alcester road moseley"
"6",2011,"Birmingham","Alcesterì Rd.","Alcester Road Moseley"
"7",2011,"Birmingham","Alfredì Str.","Alfred Street"
"8",2011,"Birmingham"," Allì Serviceì Club Ì Mosley"," All service club  Mosley"
"9",2011,"Birmingham","Alumì Rd.","Alum Rock Road"
"10",2011,"Birmingham","Alumì Rd.","Alum Rock Road"
"11",2011,"Birmingham","Alumì Rd.","Alum Rock Road"
"12",2011,"Birmingham","Alumì Rd.","Alum Rock Road"
"13",2011,"Birmingham","Arcadianì Centre","arcadian centre"
"14",2011,"Birmingham"," Ardenì Rd."," Arden Road  Saltley"
"15",2011,"Birmingham"," Asda Ì Chemsleyì Wood"," Asda  Chemsley Wood"
"16",2011,"Birmingham"," Balsahllì Heathì Park Ì J Wì Brightonì Rd."," Balsahll Heath Park  J W Brighton road"
"17",2011,"Birmingham","Bamfordì Rd.","Bamford Road"
"18",2011,"Birmingham","Bamfordì Rd.","Bamford Road"
"19",2011,"Birmingham","Beechbrookì Ave.","BeechBrook Avenue Sparkhill"
"20",2011,"Birmingham","Belchersì Ln.","Belchers Lane"
"21",2011,"Birmingham","Belchersì Ln.","Belchers Lane"
"22",2011,"Birmingham","Belchersì Ln.","Belchers Lane"
"23",2011,"Birmingham"," Belchersì Ln."," Belchers Lane  Bordesley Green"
"24",2011,"Birmingham","Bellì Str.","Bell Street"
"25",2011,"Birmingham"," Berkleyì Rdì Eastì  Ì Ì Haymills "," Berkley Rd East    Haymills "
"26",2011,"Birmingham","Birminghamì Airport","birmingham airport"
"27",2011,"Birmingham","Birminghamì Internationalì Railwayì Str.","Birmingham International railway station"
"28",2011,"Birmingham","Bordesleyì Green","Bordesley Green"
"29",2011,"Birmingham"," Bordesleyì Greenì  Ì Ì Bordesleyì Green "," Bordesley Green    Bordesley Green "
"30",2011,"Birmingham","Bristolì Rd.","Bristol Road"
